                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 4.5602,                 5.8995,                 4.2843,                      0,                      0,                      0,                      0,                 5.4265,                 7.3398,                 6.5721,                  6e-05,                  6e-05,                  6e-05
                      2,                  4.861,                 6.4805,                 3.8955,                      0,                      0,                      0,                      0,                 6.2215,                 7.4738,                 7.8677,             0.00013983,             0.00013983,             0.00013983
                      3,                 3.2306,                 4.3268,                  3.638,                      0,                      0,                      0,                      0,                 4.9907,                 4.8221,                 5.5647,             0.00021946,             0.00021946,             0.00021946
                      4,                 2.5906,                  3.259,                 3.2468,                      0,                      0,                      0,                      0,                 4.5049,                 4.9924,                 4.7798,             0.00029889,             0.00029889,             0.00029889
                      5,                  2.372,                 2.5294,                 3.5782,                      0,                      0,                      0,                      0,                 4.4883,                 4.5094,                 4.8438,             0.00037812,             0.00037812,             0.00037812
                      6,                 2.2622,                 2.9089,                 2.7797,                      0,                      0,                      0,                      0,                 4.6655,                 4.0531,                 4.7124,             0.00045715,             0.00045715,             0.00045715
                      7,                 2.2143,                 2.2685,                 3.0872,                      0,                      0,                      0,                      0,                 4.6081,                 4.2726,                 4.5417,             0.00053599,             0.00053599,             0.00053599
                      8,                 2.2019,                 2.1688,                 3.0638,                      0,                      0,                      0,                      0,                 4.6916,                 4.8848,                 4.5044,             0.00061463,             0.00061463,             0.00061463
                      9,                 2.2019,                  2.122,                 2.6722,                      0,                      0,                      0,                      0,                 4.8672,                 4.3389,                 4.8978,             0.00069307,             0.00069307,             0.00069307
                     10,                 2.2767,                 1.8676,                 2.9251,                      0,                      0,                      0,                      0,                  4.883,                 6.0384,                 4.1283,             0.00077131,             0.00077131,             0.00077131
                     11,                 2.3061,                 2.1728,                 3.1192,                      0,                      0,                      0,                      0,                 4.8422,                 5.9838,                 3.3695,             0.00084936,             0.00084936,             0.00084936
                     12,                 2.2707,                 1.8344,                 2.7959,                      0,                      0,                      0,                      0,                 4.7279,                 4.4072,                 4.2213,              0.0009272,              0.0009272,              0.0009272
                     13,                 2.1482,                 1.7108,                 3.2532,                      0,                      0,                      0,                      0,                 4.7763,                 5.5504,                 5.0569,              0.0010049,              0.0010049,              0.0010049
                     14,                 2.2731,                 1.6864,                 2.6997,                0.94719,                      1,                  0.995,                 0.0995,                 4.8716,                 4.6026,                 5.4192,              0.0010823,              0.0010823,              0.0010823
                     15,                 2.1086,                 1.5592,                  2.693,                0.94719,                      1,                  0.995,                 0.0995,                 4.7229,                 3.2864,                 5.4553,              0.0011596,              0.0011596,              0.0011596
                     16,                 2.0916,                 1.5121,                  2.715,                0.94719,                      1,                  0.995,                 0.0995,                  4.651,                 2.8195,                 5.2765,              0.0012366,              0.0012366,              0.0012366
