                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     35,                 1.9407,                 1.4801,                 2.9293,                0.27957,                      1,                0.33167,                0.03317,                 4.1676,                 2.0762,                 2.3275,              0.0018367,              0.0018367,              0.0018367
                     36,                 1.9154,                 1.3658,                 2.6601,                0.27957,                      1,                0.33167,                0.03317,                 4.2569,                 2.5012,                 4.8795,              0.0018317,              0.0018317,              0.0018317
                     37,                 1.9577,                 1.3778,                 2.8102,                0.27957,                      1,                0.33167,                0.03317,                 4.9148,                 3.4995,                 7.6451,              0.0018267,              0.0018267,              0.0018267
                     38,                 1.8934,                 1.2897,                 2.6368,                0.27957,                      1,                0.33167,                0.03317,                 4.8094,                  3.841,                 7.6117,              0.0018218,              0.0018218,              0.0018218
                     39,                  2.348,                 1.3324,                 2.6259,                0.27957,                      1,                0.33167,                0.03317,                 4.7939,                 2.9426,                 7.6648,              0.0018168,              0.0018168,              0.0018168
                     40,                  2.014,                  1.216,                 3.1626,                0.82884,                      1,                  0.995,                 0.0995,                 4.5683,                 2.7767,                 6.0146,              0.0018119,              0.0018119,              0.0018119
                     41,                 2.0773,                 1.3079,                 2.8372,                0.82884,                      1,                  0.995,                 0.0995,                 4.4209,                 2.6629,                  5.318,              0.0018069,              0.0018069,              0.0018069
                     42,                 2.0076,                 1.2816,                 2.6507,                0.00769,                      1,                0.12437,                0.01244,                 4.2375,                 2.3725,                 3.4516,               0.001802,               0.001802,               0.001802
                     43,                 1.8578,                 1.3625,                 2.7868,                0.00769,                      1,                0.12437,                0.01244,                 4.5398,                 2.6949,                 3.6084,              0.0017971,              0.0017971,              0.0017971
                     44,                 1.8014,                 1.3035,                 2.5836,                0.00769,                      1,                0.12437,                0.01244,                 4.2664,                 2.8984,                 2.4555,              0.0017921,              0.0017921,              0.0017921
                     45,                 1.8988,                 1.2327,                 2.7059,                0.00769,                      1,                0.12437,                0.01244,                 4.3023,                 2.9246,                 2.1491,              0.0017872,              0.0017872,              0.0017872
                     46,                 1.9536,                 1.1561,                 2.7247,                0.28685,                      1,                0.33167,                0.03317,                 4.3039,                 3.1228,                 1.8941,              0.0017822,              0.0017822,              0.0017822
                     47,                 1.8356,                 1.1446,                 3.0061,                0.77521,                      1,                  0.995,                 0.0995,                 4.2249,                  2.953,                 1.6289,              0.0017772,              0.0017772,              0.0017772
                     48,                 1.6297,                 1.0585,                 2.3315,                0.54017,                      1,                  0.995,                  0.199,                 4.4159,                 2.6649,                  1.677,              0.0017723,              0.0017723,              0.0017723
                     49,                 1.6867,                  1.219,                  2.491,                0.50859,                      1,                  0.995,                  0.199,                 4.5659,                 2.3505,                 2.4675,              0.0017674,              0.0017674,              0.0017674
                     50,                 1.6842,                 1.0308,                 2.4547,                0.89737,                      1,                  0.995,                  0.199,                 4.2973,                 2.5038,                 1.9978,              0.0017624,              0.0017624,              0.0017624
                     51,                 1.8181,                 1.2332,                 2.6774,                0.82236,                      1,                  0.995,                 0.0995,                 3.9405,                 2.7786,                 1.8584,              0.0017575,              0.0017575,              0.0017575
                     52,                 1.6911,                 1.0627,                 2.5265,                0.82236,                      1,                  0.995,                 0.0995,                 4.2147,                 2.9801,                 2.6878,              0.0017525,              0.0017525,              0.0017525
                     53,                 1.9006,                 1.0574,                 3.0533,                0.82236,                      1,                  0.995,                 0.0995,                 4.1096,                 2.7974,                 2.2881,              0.0017476,              0.0017476,              0.0017476
                     54,                 1.9963,                 1.1599,                 2.4077,                0.82236,                      1,                  0.995,                 0.0995,                 3.9984,                 1.9485,                 2.3951,              0.0017426,              0.0017426,              0.0017426
                     55,                 1.7267,                 1.1167,                 2.7198,                0.82236,                      1,                  0.995,                 0.0995,                 3.9106,                 2.0389,                 1.7721,              0.0017376,              0.0017376,              0.0017376
                     56,                  1.619,                 1.0811,                 2.2993,                0.82236,                      1,                  0.995,                 0.0995,                 4.2561,                   1.89,                 2.9527,              0.0017327,              0.0017327,              0.0017327
                     57,                 1.4795,                 1.0636,                 2.2995,                0.82236,                      1,                  0.995,                 0.0995,                 4.3571,                  1.849,                 3.6107,              0.0017278,              0.0017278,              0.0017278
                     58,                 1.6115,                 1.0317,                 2.5916,                0.82236,                      1,                  0.995,                 0.0995,                 4.1955,                 2.0228,                 2.2178,              0.0017228,              0.0017228,              0.0017228
                     59,                 1.7379,                 1.0783,                 2.2671,                0.89167,                      1,                  0.995,                 0.0995,                 3.9877,                 1.9338,                 1.5109,              0.0017179,              0.0017179,              0.0017179
                     60,                 1.9013,                 1.1356,                 2.3106,                0.89167,                      1,                  0.995,                 0.0995,                 4.0279,                 1.5197,                 1.2961,              0.0017129,              0.0017129,              0.0017129
                     61,                 1.9424,                 1.2562,                 2.2732,                0.89167,                      1,                  0.995,                 0.0995,                 3.8998,                 1.5171,                 1.2696,               0.001708,               0.001708,               0.001708
                     62,                 1.5435,                 1.0174,                 2.2921,                0.89167,                      1,                  0.995,                 0.0995,                 3.9213,                 1.4998,                 1.2238,               0.001703,               0.001703,               0.001703
                     63,                 1.6791,                 1.0581,                 2.3555,                0.89167,                      1,                  0.995,                 0.0995,                 4.1167,                 1.7815,                 1.1936,               0.001698,               0.001698,               0.001698
                     64,                 1.7325,                0.96578,                 2.5028,                0.89167,                      1,                  0.995,                 0.0995,                 4.1757,                 1.8559,                 1.1598,              0.0016931,              0.0016931,              0.0016931
                     65,                 1.7133,                0.98371,                  2.205,                0.92857,                      1,                  0.995,                 0.0995,                 4.0243,                 2.0709,                 1.2174,              0.0016882,              0.0016882,              0.0016882
                     66,                 1.6753,                 1.2431,                 2.5457,                0.92857,                      1,                  0.995,                 0.0995,                 3.8227,                 2.3157,                 1.2821,              0.0016832,              0.0016832,              0.0016832
                     67,                 1.6129,                 0.9982,                 2.6871,                0.92857,                      1,                  0.995,                 0.0995,                 3.6883,                 2.6422,                 1.1794,              0.0016783,              0.0016783,              0.0016783
                     68,                  1.601,                 1.1624,                  2.791,                0.92857,                      1,                  0.995,                 0.0995,                 3.7674,                 2.5114,                 1.2261,              0.0016733,              0.0016733,              0.0016733
                     69,                 1.6977,                  1.021,                 2.1753,                 0.9399,                      1,                  0.995,                 0.0995,                 4.2116,                 3.1118,                 1.2612,              0.0016684,              0.0016684,              0.0016684
                     70,                 1.5187,                 1.0318,                  2.305,                0.92475,                      1,                  0.995,                 0.0995,                 4.4569,                 3.1496,                 1.3544,              0.0016634,              0.0016634,              0.0016634
                     71,                 1.5585,                  1.011,                 2.2718,                0.92475,                      1,                  0.995,                 0.0995,                 4.3749,                 3.1808,                 1.3365,              0.0016585,              0.0016585,              0.0016585
