                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 4.3402,                 5.1316,                 4.1132,                      0,                      0,                      0,                      0,                 4.8896,                 5.1377,                 2.8064,                  2e-05,                  2e-05,                  2e-05
                      2,                 3.7957,                 5.2191,                 3.7034,                      0,                      0,                      0,                      0,                 4.6324,                 5.6519,                 3.1143,             5.9852e-05,             5.9852e-05,             5.9852e-05
                      3,                 3.9937,                 5.1638,                 3.8609,                0.00333,                      1,                0.00858,                0.00172,                 3.2045,                 4.2821,                 7.1363,             9.9505e-05,             9.9505e-05,             9.9505e-05
                      4,                 3.0755,                 4.1796,                 3.1283,                0.00333,                      1,                0.01877,                0.00939,                 2.1528,                 3.2754,                 8.3388,             0.00013896,             0.00013896,             0.00013896
                      5,                 2.2415,                 3.5696,                  2.809,                0.00333,                      1,                0.24875,                0.07462,                 1.8679,                 2.8609,                 8.4534,             0.00017822,             0.00017822,             0.00017822
                      6,                 2.3022,                 3.0611,                 3.1689,                0.20998,                      1,                  0.995,                0.44775,                 1.5362,                 2.3007,                 8.4194,             0.00021728,             0.00021728,             0.00021728
                      7,                 1.9328,                 2.7712,                 2.3737,                0.44905,                      1,                 0.4975,                0.34825,                 1.4421,                 2.5047,                 8.4574,             0.00025614,             0.00025614,             0.00025614
                      8,                 1.6763,                 2.1864,                  2.875,                0.46746,                      1,                 0.4975,                0.26533,                 1.6679,                  3.737,                 5.5746,              0.0002948,              0.0002948,              0.0002948
                      9,                 1.7457,                  2.103,                 2.4227,                0.48044,                      1,                 0.4975,                0.16702,                 1.8262,                 3.5665,                 4.2545,             0.00033327,             0.00033327,             0.00033327
                     10,                 1.5739,                 1.8048,                 2.2262,                 0.4852,                      1,                 0.4975,                0.18905,                 1.8535,                  3.614,                 3.3125,             0.00037154,             0.00037154,             0.00037154
                     11,                 1.5844,                  1.728,                 2.4179,                0.48529,                      1,                 0.4975,                 0.2985,                 1.6324,                 2.7661,                 1.4932,             0.00040961,             0.00040961,             0.00040961
                     12,                 1.6251,                 1.8715,                 2.3864,                0.48582,                      1,                 0.4975,                 0.2985,                 1.2378,                 2.3525,                 1.3226,             0.00044748,             0.00044748,             0.00044748
                     13,                 1.5983,                 1.6414,                 2.4495,                0.48804,                      1,                 0.4975,                0.24875,                 1.3722,                 2.6584,                 1.4882,             0.00048515,             0.00048515,             0.00048515
                     14,                  1.366,                 1.5776,                 1.9847,                0.82257,                      1,                  0.995,                 0.4975,                 1.4754,                  1.795,                 2.8146,             0.00052263,             0.00052263,             0.00052263
                     15,                 1.4241,                  1.651,                 2.1782,                0.96776,                      1,                  0.995,                  0.398,                 1.5874,                 2.0081,                 3.5721,              0.0005599,              0.0005599,              0.0005599
                     16,                 1.4278,                 1.5015,                 2.4005,                0.97081,                      1,                  0.995,                  0.398,                 1.4639,                 1.6902,                 4.3095,             0.00059698,             0.00059698,             0.00059698
                     17,                 1.6146,                 1.6488,                 2.4349,                0.96893,                      1,                  0.995,                 0.6965,                 1.3361,                 1.3202,                 5.2458,             0.00063386,             0.00063386,             0.00063386
                     18,                 1.5094,                 1.5815,                 2.0701,                0.96798,                      1,                  0.995,                  0.796,                 1.1026,                 1.2704,                 7.1561,             0.00067055,             0.00067055,             0.00067055
                     19,                 1.5454,                 1.5239,                 2.6894,                 0.9644,                      1,                  0.995,                 0.6965,                  1.236,                 1.5145,                 6.0618,             0.00070703,             0.00070703,             0.00070703
                     20,                 1.4266,                 1.4734,                  2.339,                0.95746,                      1,                  0.995,                  0.796,                  1.186,                 1.4015,                 5.5198,             0.00074332,             0.00074332,             0.00074332
                     21,                 1.4989,                 1.3793,                 2.1235,                0.88146,                      1,                  0.995,                  0.597,                 1.8361,                 1.6869,                 3.0546,             0.00077941,             0.00077941,             0.00077941
                     22,                 1.4887,                 1.3274,                 2.8844,                0.46668,                      1,                  0.995,                 0.4975,                 1.9411,                 1.7613,                 3.6711,              0.0008153,              0.0008153,              0.0008153
                     23,                 1.4118,                 1.2173,                 2.6761,                0.91186,                      1,                  0.995,                  0.597,                 1.3972,                 1.5158,                 7.3707,               0.000851,               0.000851,               0.000851
                     24,                 1.5841,                 1.3195,                 2.4421,                0.89681,                      1,                  0.995,                 0.4975,                 1.6335,                 1.4579,                 7.9535,             0.00088649,             0.00088649,             0.00088649
                     25,                 1.4043,                 1.4029,                 2.7595,                0.94649,                      1,                  0.995,                 0.4975,                 1.4427,                 1.5139,                 8.0179,             0.00092179,             0.00092179,             0.00092179
                     26,                 1.4556,                 1.2722,                 2.1105,                0.95062,                      1,                  0.995,                 0.6965,                 1.4082,                 1.5018,                 8.2986,             0.00095689,             0.00095689,             0.00095689
                     27,                 1.5135,                 1.2234,                 2.2103,                0.96389,                      1,                  0.995,                 0.6965,                 1.4011,                 1.1333,                 7.1907,             0.00099179,             0.00099179,             0.00099179
